snapshot_date,provider_id,provider_name,raw_model_name,canonical_model,model_family,tier,channel_type,unit,price_usd,source_url,captured_at,confidence,method,notes
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1-codex,,,,aggregator,per_1m_input_tokens,1.25,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623250+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1-codex,,,,aggregator,per_1m_output_tokens,10.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623255+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1-codex,,,,aggregator,per_1m_input_cache_read_tokens,0.125,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623261+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1-codex-mini,,,,aggregator,per_1m_input_tokens,0.25,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623267+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1-codex-mini,,,,aggregator,per_1m_output_tokens,2.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623272+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-5.1-codex-mini,,,,aggregator,per_1m_input_cache_read_tokens,0.024999999999999998,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623277+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4o,,,,aggregator,per_1m_input_tokens,2.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623283+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4o,,,,aggregator,per_1m_output_tokens,10.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623287+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4o,,,,aggregator,per_1m_input_cache_read_tokens,1.25,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623293+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4o-mini,,,,aggregator,per_1m_input_tokens,0.15,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623299+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4o-mini,,,,aggregator,per_1m_output_tokens,0.6,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623304+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4o-mini,,,,aggregator,per_1m_input_cache_read_tokens,0.075,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623309+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4.1,,,,aggregator,per_1m_input_tokens,2.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623315+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4.1,,,,aggregator,per_1m_output_tokens,8.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623320+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4.1,,,,aggregator,per_1m_input_cache_read_tokens,0.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623324+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4.1-mini,,,,aggregator,per_1m_input_tokens,0.39999999999999997,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623330+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4.1-mini,,,,aggregator,per_1m_output_tokens,1.5999999999999999,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623335+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4.1-mini,,,,aggregator,per_1m_input_cache_read_tokens,0.09999999999999999,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623340+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4.1-nano,,,,aggregator,per_1m_input_tokens,0.09999999999999999,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623346+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4.1-nano,,,,aggregator,per_1m_output_tokens,0.39999999999999997,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623350+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/gpt-4.1-nano,,,,aggregator,per_1m_input_cache_read_tokens,0.024999999999999998,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623355+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o1,,,,aggregator,per_1m_input_tokens,15.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623361+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o1,,,,aggregator,per_1m_output_tokens,60.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623366+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o1,,,,aggregator,per_1m_input_cache_read_tokens,7.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623371+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o3,,,,aggregator,per_1m_input_tokens,2.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623377+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o3,,,,aggregator,per_1m_output_tokens,8.0,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623382+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o3,,,,aggregator,per_1m_input_cache_read_tokens,0.5,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623387+00:00,high,json-api,
2026-06-07,atlascloud,Atlas Cloud,openai/o3-mini,,,,aggregator,per_1m_input_tokens,1.1,https://www.atlascloud.ai/models,2026-06-07T06:46:33.623393+00:00,high,json-api,
